File; Clique; Time (sec)
brock200_1.clq; 21; 64.394
brock200_2.clq; 12; 35.5302
brock200_3.clq; 15; 37.7108
brock200_4.clq; 17; 37.8313
brock400_1.clq; 24; 393.358
brock400_2.clq; 25; 347.724
brock400_3.clq; 24; 268.815
brock400_4.clq; 33; 358.942
C125.9.clq; 34; 2.26885
gen200_p0.9_44.clq; 44; 10.7814
gen200_p0.9_55.clq; 55; 2.14655
hamming8-4.clq; 16; 32.2382
johnson16-2-4.clq; 8; 1.27366
johnson8-2-4.clq; 4; 0.021588
keller4.clq; 11; 10.3924
MANN_a27.clq; 126; 25.6172
MANN_a9.clq; 16; 0.070865
p_hat1000-1.clq; 10; 1518.93
p_hat1000-2.clq; 44; 1668.82
p_hat1500-1.clq; 12; 2759.32
p_hat300-3.clq; 34; 208.54
p_hat500-3.clq; 47; 990.367
san1000.clq; 10; 1600.88
sanr200_0.9.clq; 39; 16.8899
sanr400_0.7.clq; 21; 325.774
